Month,Refiner_Sales
7/1/2000,62278.2
6/1/2000,63275.5
5/1/2000,60300.4
4/1/2000,57911.6
3/1/2000,60573
2/1/2000,59107.2
1/1/2000,54421
12/1/1999,62719
11/1/1999,59078.1
10/1/1999,60415.4
9/1/1999,59265.4
8/1/1999,61363
7/1/1999,62669.7
6/1/1999,64458.4
5/1/1999,63464.7
4/1/1999,63722.4
3/1/1999,63320.2
2/1/1999,62779.7
1/1/1999,60254
12/1/1998,65401.5
11/1/1998,63846.8
10/1/1998,65121.8
9/1/1998,65146.9
8/1/1998,66831
7/1/1998,67183.3
6/1/1998,60837
5/1/1998,59509.7
4/1/1998,59012.3
3/1/1998,64533.5
2/1/1998,62399.8
1/1/1998,59905.7
12/1/1997,66017.1
11/1/1997,62252.8
10/1/1997,64355.2
9/1/1997,63680.2
8/1/1997,64803.7
7/1/1997,65294.2
6/1/1997,59820.3
5/1/1997,57840.1
4/1/1997,58854
3/1/1997,58443.8
2/1/1997,57313.3
1/1/1997,54440.6
12/1/1996,59200.7
11/1/1996,58101.4
10/1/1996,58456.2
9/1/1996,57845.3
8/1/1996,59651.5
7/1/1996,58909.8
6/1/1996,59170.9
5/1/1996,57796.4
4/1/1996,57183.4
3/1/1996,56388.2
2/1/1996,54566.8
1/1/1996,53039.9
12/1/1995,56471.5
11/1/1995,55907.4
10/1/1995,55610.5
9/1/1995,56580.9
8/1/1995,58296.8
7/1/1995,56944
6/1/1995,58547.4
5/1/1995,56242.2
4/1/1995,55456.8
3/1/1995,55592.4
2/1/1995,54138.2
1/1/1995,51200.2
12/1/1994,55612.3
11/1/1994,54480.4
10/1/1994,54240.5
9/1/1994,54992.9
8/1/1994,56393.4
7/1/1994,55834.5
6/1/1994,57165.3
5/1/1994,55523
4/1/1994,54962.1
3/1/1994,55363.8
2/1/1994,54270.1
1/1/1994,51533.7
12/1/1993,56074.7
11/1/1993,55743.5
10/1/1993,55432.4
9/1/1993,57462.3
8/1/1993,58453
7/1/1993,58807.7
6/1/1993,60391.1
5/1/1993,57465.8
4/1/1993,58138.7
3/1/1993,57624.8
2/1/1993,57305.3
1/1/1993,53826.6
12/1/1992,59287.9
11/1/1992,56877.6
10/1/1992,59011.8
9/1/1992,58579.1
8/1/1992,59083.7
7/1/1992,60400.3
6/1/1992,60353.3
5/1/1992,59615.2
4/1/1992,59980.2
3/1/1992,59639.5
2/1/1992,58308.6
1/1/1992,56410.9
12/1/1991,61521.7
11/1/1991,60442.9
10/1/1991,61181.3
9/1/1991,60346.2
8/1/1991,62534
7/1/1991,62600.6
6/1/1991,63319.4
5/1/1991,62244.9
4/1/1991,61982
3/1/1991,61553.8
2/1/1991,59384.5
1/1/1991,56924.5
12/1/1990,58382.1
11/1/1990,60550.6
10/1/1990,60295.1
9/1/1990,60912.1
8/1/1990,63182
7/1/1990,61531
6/1/1990,63108.6
5/1/1990,60572.2
4/1/1990,59600.5
3/1/1990,59847
2/1/1990,57909.4
1/1/1990,58138
12/1/1989,63182.4
11/1/1989,61339
10/1/1989,61973.6
9/1/1989,61922.8
8/1/1989,63362
7/1/1989,62335
6/1/1989,63521
5/1/1989,62088.7
4/1/1989,60242
3/1/1989,60500.1
2/1/1989,58492.6
1/1/1989,55556.8
12/1/1988,63099.8
11/1/1988,59783.1
10/1/1988,60385.3
9/1/1988,61036.1
8/1/1988,62450
7/1/1988,61873.2
6/1/1988,62884.1
5/1/1988,60701.3
4/1/1988,61584.1
3/1/1988,61577.5
2/1/1988,59900.3
1/1/1988,57041
12/1/1987,61720.2
11/1/1987,58877
10/1/1987,60707.9
