Month,Mbbls_per_day
01/02/1997,182400
01/01/1997,198466
01/12/1996,201685
01/11/1996,194268
01/10/1996,200907
01/09/1996,194456
01/08/1996,197162
01/07/1996,196471
01/06/1996,193746
01/05/1996,198208
01/04/1996,193317
01/03/1996,203715
01/02/1996,190727
01/01/1996,201354
01/12/1995,202428
01/11/1995,197559
01/10/1995,199055
01/09/1995,192484
01/08/1995,199846
01/07/1995,199912
01/06/1995,197359
01/05/1995,205509
01/04/1995,198111
01/03/1995,204613
01/02/1995,190245
01/01/1995,207148
01/12/1994,209550
01/11/1994,198850
01/10/1994,206398
01/09/1994,198264
01/08/1994,202869
01/07/1994,201527
01/06/1994,198318
01/05/1994,207334
01/04/1994,198363
01/03/1994,209114
01/02/1994,189569
01/01/1994,211320
01/12/1993,212585
01/11/1993,207349
01/10/1993,212003
01/09/1993,201347
01/08/1993,209492
01/07/1993,207339
01/06/1993,203842
01/05/1993,212255
01/04/1993,206439
01/03/1993,216198
01/02/1993,194393
01/01/1993,215791
01/12/1992,220200
01/11/1992,210724
01/10/1992,220898
01/09/1992,210904
01/08/1992,214575
01/07/1992,221064
01/06/1992,215019
01/05/1992,222227
01/04/1992,218775
01/03/1992,227798
01/02/1992,214269
01/01/1992,228178
01/12/1991,226267
01/11/1991,219833
01/10/1991,230557
01/09/1991,221029
01/08/1991,226801
01/07/1991,227756
01/06/1991,219610
01/05/1991,229670
01/04/1991,225256
01/03/1991,233926
01/02/1991,213836
01/01/1991,232498
01/12/1990,227463
01/11/1990,221598
01/10/1990,233799
01/09/1990,216715
01/08/1990,225886
01/07/1990,222371
01/06/1990,213175
01/05/1990,227179
01/04/1990,222215
01/03/1990,230434
01/02/1990,209923
01/01/1990,233931
01/12/1989,227439
01/11/1989,226082
01/10/1989,231036
01/09/1989,226436
01/08/1989,233878
01/07/1989,230766
01/06/1989,228731
01/05/1989,242303
01/04/1989,233147
01/03/1989,234822
01/02/1989,218076
01/01/1989,246056
01/12/1988,246189
01/11/1988,240700
01/10/1988,248704
01/09/1988,236847
01/08/1988,250459
01/07/1988,249229
01/06/1988,245102
01/05/1988,255089
01/04/1988,248629
01/03/1988,259587
01/02/1988,242848
01/01/1988,255743
01/12/1987,257844
01/11/1987,251915
01/10/1987,259272
01/09/1987,246163
01/08/1987,254508
01/07/1987,255782
01/06/1987,248356
01/05/1987,258426
01/04/1987,254945
01/03/1987,262398
01/02/1987,234880
01/01/1987,262888
01/12/1986,258926
01/11/1986,252374
01/10/1986,260984
01/09/1986,249843
01/08/1986,259580
01/07/1986,268448
01/06/1986,258700
01/05/1986,273964
01/04/1986,265917
01/03/1986,279413
01/02/1986,256855
01/01/1986,283248
01/12/1985,279916
01/11/1985,267059
01/10/1985,278068
01/09/1985,268610
01/08/1985,272881
01/07/1985,277410
01/06/1985,270653
01/05/1985,283093
01/04/1985,271299
01/03/1985,281943
01/02/1985,252695
01/01/1985,270926
01/12/1984,275797
01/11/1984,269357
01/10/1984,276075
01/09/1984,269798
01/08/1984,273091
01/07/1984,275432
01/06/1984,265570
01/05/1984,277616
01/04/1984,265872
01/03/1984,268829
01/02/1984,257357
01/01/1984,274902
01/12/1983,260293
01/11/1983,263111
01/10/1983,271890
01/09/1983,263530
01/08/1983,269053
01/07/1983,267717
01/06/1983,260014
01/05/1983,267575
01/04/1983,263269
01/03/1983,269706
01/02/1983,245237
01/01/1983,269604
01/12/1982,266535
01/11/1982,260918
01/10/1982,269745
01/09/1982,261028
01/08/1982,267643
01/07/1982,268398
01/06/1982,259383
01/05/1982,269186
01/04/1982,257738
01/03/1982,268687
01/02/1982,243661
01/01/1982,263793
01/12/1981,266147
01/11/1981,257579
01/10/1981,265450
01/09/1981,258120
01/08/1981,266069
01/07/1981,263498
01/06/1981,258859
01/05/1981,263541
01/04/1981,256708
01/03/1981,267003
01/02/1981,240914
01/01/1981,264736
01/12/1980,266777
01/11/1980,254852
01/10/1980,264489
01/09/1980,258577
01/08/1980,260841
01/07/1980,264964
01/06/1980,256619
01/05/1980,267684
01/04/1980,260541
01/03/1980,269650
01/02/1980,252431
01/01/1980,268940
01/12/1979,267050
01/11/1979,262818
01/10/1979,267256
01/09/1979,255693
01/08/1979,264981
01/07/1979,259278
01/06/1979,252949
01/05/1979,266631
01/04/1979,256593
01/03/1979,266635
01/02/1979,238710
01/01/1979,262716
01/12/1978,268508
01/11/1978,262233
01/10/1978,273420
01/09/1978,264010
01/08/1978,271502
01/07/1978,271442
01/06/1978,264974
01/05/1978,273583
01/04/1978,264526
