,api,reported_fluid_type,lease_name,well_num,6mo_oil_x,6mo_time,1_mo_oil,1_mo_gas,2_mo_oil,2_mo_gas,cum_oil_x,cum_gas,formation,top_d,btm_d,operator,basin,td,tvd,elevation,spud_date,surf_lat,surf_long,btm_lat,btm_long,total_prop,total_fluid_pumped,stages_2,initial_GOR,calculated_LL,offset_dist,parent_6_mo,parent_cum_oil
13,42177324630000,O,ADELE DUBOSE,2,53250,6,17784,22227,11341,13999,246969,648310,EAGLE FORD,12439,17252,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),17977,11579,409.0,3/9/2012,29.158638899999996,-97.5792222,29.173282899999997,-97.5902792,4349000,77503,64.0,1249.831309,6399.378101,565.0911914324284,80960,355404
14,42177326800000,O,ADELE DUBOSE,3,78373,6,18159,20997,28780,45843,241182,524109,EAGLE FORD,12281,18515,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),18617,11540,388.0,11/25/2012,29.153277799999998,-97.5850056,29.1722777,-97.5916288,4051000,84380,17.0,1156.286139,7245.876396,565.0911914324284,80960,355404
15,42177326850000,O,ADELE DUBOSE,4,73509,6,20309,16922,28639,43266,194590,346103,EAGLE FORD,12287,18488,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),18628,11536,419.0,11/2/2012,29.153277799999998,-97.58506109999999,29.1715326,-97.5931945,3997000,85840,17.0,833.2266482999999,7146.322459,568.0380096602942,80960,355404
16,42177325480000,O,ADELE DUBOSE,5,65189,6,2487,3680,23499,39022,172114,294192,EAGLE FORD,12092,17483,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),18006,11609,369.0,6/11/2012,29.151305600000004,-97.5870833,29.1689537,-97.5937847,4090000,82256,15.0,1479.694411,6783.406806,844.6392654863773,80960,355404
17,42177325490000,O,ADELE DUBOSE,6,66753,6,1049,1919,24628,50575,131001,268875,EAGLE FORD,12218,17317,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),17440,11625,398.0,7/5/2012,29.1512778,-97.5871667,29.1667482,-97.59459090000001,3909000,78914,15.0,1829.361296,6119.744991,506.58270818009055,80960,355404
18,42177325500000,O,ADELE DUBOSE,7,45665,6,26774,26748,14836,18541,143774,226387,EAGLE FORD,12212,17512,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),17627,11536,397.0,7/22/2012,29.15125,-97.58725,29.1663749,-97.59612249999999,3888000,78054,15.0,999.0289086000001,6200.007899,506.58270818009055,80960,355404
19,42177328280000,O,ADELE DUBOSE,8,32108,6,25307,27389,9596,21183,119765,232405,EAGLE FORD,12084,16693,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),16797,11487,357.0,4/20/2013,29.146388899999998,-97.59091670000001,29.162291999999997,-97.5958739,3844000,80139,15.0,1082.269728,6013.148429999999,1491.689843440897,80960,355404
20,42255332890000,O,ALLEN UNIT A,2,129472,6,12667,13037,25311,32806,336638,504056,EAGLE FORD,13092,18560,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18788,12402,332.0,10/19/2013,28.971544399999996,-97.7631,28.981605199999997,-97.7765027,6924000,107913,1.0,1029.209758,5636.598006,893.808662966135,125844,360564
21,42255339850000,O,ALLEN UNIT A,3,121788,6,12059,19376,24427,39986,193039,332750,EAGLE FORD,12931,17934,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18104,12297,331.0,6/20/2016,28.9709167,-97.7634833,28.979175199999997,-97.7769043,9988000,179082,1.0,1606.76673,5237.086933,14.489698978863036,125844,360564
22,42255339860000,O,ALLEN UNIT A,4,116581,6,134,135,22527,37933,205292,391762,EAGLE FORD,13027,18231,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18387,12437,331.0,6/19/2016,28.970861100000004,-97.7634856,28.979175199999997,-97.77685890000001,10372000,190654,1.0,1007.462687,5236.367011,14.489698978863036,125844,360564
